Time,og_F,corr_F
81.4,9.46045,-1.546752
81.5,10.7117,-0.306765
81.6,9.46045,-1.569278
81.7,10.8032,-0.237791
81.8,9.61304,-1.439214
81.9,10.8643,-0.199217
82,10.0403,-1.03448
82.1,10.0708,-1.015243
82.2,10.7727,-0.324606
82.3,10.0403,-1.068269
82.4,10.7422,-0.377632
82.5,10.1624,-0.968695
82.6,10.8032,-0.339158
82.7,9.91821,-1.235411
82.8,11.322,0.157116
82.9,9.61304,-1.563107
83,11.0168,-0.17061
83.1,10.498,-0.700673
83.2,10.2234,-0.986536
83.3,11.1084,-0.112799
83.4,10.3149,-0.917562
83.5,11.0474,-0.196325
83.6,10.5591,-0.695888
83.7,10.8948,-0.371451
83.8,10.2539,-1.023614
83.9,11.0168,-0.271977
84,10.1318,-1.16824
84.1,11.1389,-0.172403
84.2,10.4065,-0.916066
84.3,11.0779,-0.255929
84.4,11.1694,-0.175692
84.5,9.8877,-1.468655
84.6,11.322,-0.045618
84.7,10.0403,-1.338581
84.8,11.261,-0.129144
84.9,10.4065,-0.994907
85,11.261,-0.15167
85.1,10.437,-0.986933
85.2,11.5051,0.069904
85.3,10.1929,-1.253559
85.4,11.4136,-0.044122
85.5,10.7727,-0.696285
85.6,10.6201,-0.860148
85.7,11.4746,-0.016911
85.8,10.4675,-1.035274
85.9,11.5051,-0.008937
86,10.8948,-0.6305
86.1,11.4136,-0.122963
86.2,10.8032,-0.744626
86.3,11.4136,-0.145489
86.4,10.8643,-0.706052
86.5,11.5051,-0.076515
86.6,11.2915,-0.301378
86.7,11.261,-0.343141
86.8,11.4746,-0.140804
86.9,10.7422,-0.884467
87,11.8408,0.20287
87.1,10.5286,-1.120593
87.2,12.085,0.424544
87.3,10.8948,-0.776919
87.4,11.5051,-0.177882
87.5,11.3525,-0.341745
87.6,11.9019,0.196392
87.7,11.0474,-0.669371
87.8,11.8408,0.112766
87.9,11.4441,-0.295197
88,10.8948,-0.85576
88.1,12.2375,0.475677
88.2,10.8032,-0.969886
88.3,12.3596,0.575251
88.4,11.1389,-0.656712
88.5,11.9629,0.156025
88.6,11.4746,-0.343538
88.7,11.9629,0.133499
88.8,11.5967,-0.243964
88.9,12.146,0.294073
89,11.8408,-0.02239
89.1,11.7493,-0.125153
89.2,12.0239,0.138184
89.3,11.4441,-0.452879
89.4,12.5732,0.664958
89.5,11.4746,-0.444905
89.6,12.6038,0.673032
89.7,11.5967,-0.345331
89.8,11.9629,0.009606
89.9,11.9324,-0.032157
90,12.3291,0.35328
90.1,12.0544,0.067317
90.2,12.3596,0.361254
90.3,12.2375,0.227891
90.4,12.0239,0.003028
90.5,12.9395,0.907365
90.6,11.2,-0.843398
90.7,13.1531,1.098439
90.8,11.6577,-0.408224
90.9,12.7563,0.679113
91,12.2681,0.17965
91.1,12.3901,0.290387
91.2,12.2375,0.126524
91.3,12.6953,0.573061
91.4,12.2681,0.134598
91.5,12.4207,0.275935
91.6,12.6648,0.508772
91.7,12.2375,0.070209
91.8,13.3057,1.127146
91.9,12.1765,-0.013317
92,13.1226,0.92152
92.1,11.9934,-0.218943
92.2,12.6343,0.410694
92.3,12.4207,0.185831
92.4,12.6953,0.449168
92.5,13.0005,0.743105
92.6,12.6648,0.396142
92.7,12.7563,0.476379
92.8,12.6953,0.404116
92.9,13.1226,0.820153
93,11.9629,-0.35081
93.1,13.8855,1.560527
93.2,12.0239,-0.312336
93.3,13.3667,1.019201
93.4,12.7563,0.397538
93.5,12.6648,0.294775
93.6,13.1531,0.771812
93.7,12.8479,0.455349
93.8,13.0005,0.596686
93.9,12.5732,0.158123
94,13.4888,1.06246
94.1,12.4207,-0.016903
94.2,13.7939,1.345034
94.3,12.3901,-0.070029
94.4,13.6719,1.200508
94.5,12.6953,0.212645
94.6,13.3362,0.842282
94.7,13.2446,0.739419
94.8,12.9089,0.392456
94.9,13.3057,0.777993
95,13.092,0.55303
95.1,13.031,0.480767
95.2,13.031,0.469504
95.3,13.7634,1.190641
95.4,12.7563,0.172278
95.5,14.0381,1.442815
95.6,12.5732,-0.033348
95.7,13.6414,1.023589
95.8,13.4888,0.859726
95.9,13.0005,0.360163
96,13.9465,1.2949
96.1,12.9395,0.276637
96.2,13.5193,0.845174
96.3,13.092,0.406611
96.4,14.0076,1.310948
96.5,12.8784,0.170485
96.6,14.3738,1.654622
96.7,12.4207,-0.309741
96.8,14.3433,1.601596
96.9,13.0615,0.308533
97,13.5498,0.78557
